shapechoice1,colorchoice1,shapechoice2,colorchoice2,shapecue,colorcue,choicelocation,subject,datetime
1,1,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
13,13,4,4,13,13,1,Jeeves,2023-02-01_13-31-20
5,5,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
12,12,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
3,3,5,5,3,3,1,Jeeves,2023-02-01_13-31-20
7,7,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
8,8,10,10,8,8,1,Jeeves,2023-02-01_13-31-20
2,2,14,14,2,2,1,Jeeves,2023-02-01_13-31-20
2,2,7,7,2,2,1,Jeeves,2023-02-01_13-31-20
12,12,13,13,12,12,1,Jeeves,2023-02-01_13-31-20
13,13,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
4,4,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
8,8,2,2,8,8,1,Jeeves,2023-02-01_13-31-20
3,3,14,14,3,3,1,Jeeves,2023-02-01_13-31-20
5,5,1,1,5,5,1,Jeeves,2023-02-01_13-31-20
4,4,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
9,9,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
7,7,1,1,7,7,1,Jeeves,2023-02-01_13-31-20
12,12,11,11,12,12,1,Jeeves,2023-02-01_13-31-20
10,10,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
1,1,14,14,1,1,1,Jeeves,2023-02-01_13-31-20
11,11,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
7,4,4,1,4,4,2,Jeeves,2023-02-01_13-31-20
13,13,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
12,12,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
11,11,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
11,6,6,11,6,6,2,Jeeves,2023-02-01_13-31-20
8,8,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
1,1,5,5,1,1,1,Jeeves,2023-02-01_13-31-20
7,7,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
7,7,14,14,7,7,1,Jeeves,2023-02-01_13-31-20
11,11,10,10,11,11,1,Jeeves,2023-02-01_13-31-20
11,8,8,14,8,8,1,Jeeves,2023-02-01_13-31-20
9,9,4,4,9,9,1,Jeeves,2023-02-01_13-31-20
10,10,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
14,14,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
6,6,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
11,2,2,8,2,2,2,Jeeves,2023-02-01_13-31-20
12,12,3,3,3,3,1,Jeeves,2023-02-01_13-31-20
4,4,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
9,2,2,9,9,9,2,Jeeves,2023-02-01_13-31-20
11,11,4,4,11,11,1,Jeeves,2023-02-01_13-31-20
6,6,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
7,7,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
13,13,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
14,12,12,1,12,12,1,Jeeves,2023-02-01_13-31-20
1,1,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
1,1,4,4,1,1,1,Jeeves,2023-02-01_13-31-20
7,7,11,11,7,7,1,Jeeves,2023-02-01_13-31-20
14,10,9,14,14,14,1,Jeeves,2023-02-01_13-31-20
12,12,13,13,12,12,1,Jeeves,2023-02-01_13-31-20
12,12,7,7,12,12,1,Jeeves,2023-02-01_13-31-20
10,10,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
2,11,1,2,2,2,1,Jeeves,2023-02-01_13-31-20
11,5,7,11,11,11,2,Jeeves,2023-02-01_13-31-20
6,6,4,4,6,6,1,Jeeves,2023-02-01_13-31-20
9,8,8,14,8,8,2,Jeeves,2023-02-01_13-31-20
2,2,14,14,2,2,1,Jeeves,2023-02-01_13-31-20
4,2,13,4,4,4,1,Jeeves,2023-02-01_13-31-20
10,10,11,11,10,10,1,Jeeves,2023-02-01_13-31-20
12,12,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
6,6,8,8,6,6,1,Jeeves,2023-02-01_13-31-20
7,7,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
14,14,7,7,14,14,1,Jeeves,2023-02-01_13-31-20
1,1,12,12,1,1,1,Jeeves,2023-02-01_13-31-20
13,13,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
6,6,14,14,6,6,1,Jeeves,2023-02-01_13-31-20
2,2,4,4,2,2,1,Jeeves,2023-02-01_13-31-20
3,3,9,9,3,3,1,Jeeves,2023-02-01_13-31-20
13,13,12,12,13,13,1,Jeeves,2023-02-01_13-31-20
12,12,3,3,12,12,1,Jeeves,2023-02-01_13-31-20
14,14,9,9,14,14,1,Jeeves,2023-02-01_13-31-20
10,7,7,8,7,7,2,Jeeves,2023-02-01_13-31-20
1,1,13,13,1,1,1,Jeeves,2023-02-01_13-31-20
3,3,5,5,3,3,1,Jeeves,2023-02-01_13-31-20
10,10,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
4,4,3,3,4,4,1,Jeeves,2023-02-01_13-31-20
7,7,12,12,7,7,1,Jeeves,2023-02-01_13-31-20
9,9,1,1,9,9,1,Jeeves,2023-02-01_13-31-20
8,8,7,7,8,8,1,Jeeves,2023-02-01_13-31-20
3,3,14,14,3,3,1,Jeeves,2023-02-01_13-31-20
9,9,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
7,7,2,2,7,7,1,Jeeves,2023-02-01_13-31-20
8,8,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
3,3,7,7,3,3,1,Jeeves,2023-02-01_13-31-20
2,2,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
11,11,12,12,11,11,1,Jeeves,2023-02-01_13-31-20
10,10,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
14,14,7,7,14,14,1,Jeeves,2023-02-01_13-31-20
2,2,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
6,6,12,12,6,6,1,Jeeves,2023-02-01_13-31-20
9,8,8,1,8,8,2,Jeeves,2023-02-01_13-31-20
2,2,8,8,2,2,1,Jeeves,2023-02-01_13-31-20
8,8,4,4,4,4,1,Jeeves,2023-02-01_13-31-20
1,1,3,3,1,1,1,Jeeves,2023-02-01_13-31-20
1,11,7,1,1,1,1,Jeeves,2023-02-01_13-31-20
1,1,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
8,8,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
9,12,5,9,9,9,2,Jeeves,2023-02-01_13-31-20
14,14,13,13,14,14,1,Jeeves,2023-02-01_13-31-20
10,10,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
11,11,14,14,11,11,1,Jeeves,2023-02-01_13-31-20
7,7,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
13,13,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
5,5,13,13,5,5,1,Jeeves,2023-02-01_13-31-20
3,3,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
9,11,2,9,9,9,2,Jeeves,2023-02-01_13-31-20
3,3,14,14,14,14,1,Jeeves,2023-02-01_13-31-20
8,8,11,11,8,8,1,Jeeves,2023-02-01_13-31-20
3,3,9,9,3,3,1,Jeeves,2023-02-01_13-31-20
4,4,8,8,4,4,1,Jeeves,2023-02-01_13-31-20
2,7,7,1,7,7,2,Jeeves,2023-02-01_13-31-20
10,10,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
5,8,8,1,8,8,1,Jeeves,2023-02-01_13-31-20
1,11,11,10,11,11,2,Jeeves,2023-02-01_13-31-20
7,7,9,9,7,7,1,Jeeves,2023-02-01_13-31-20
12,12,14,14,12,12,1,Jeeves,2023-02-01_13-31-20
9,9,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
4,4,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
3,1,5,3,3,3,1,Jeeves,2023-02-01_13-31-20
7,10,10,8,10,10,2,Jeeves,2023-02-01_13-31-20
1,1,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
3,3,11,11,3,3,1,Jeeves,2023-02-01_13-31-20
4,4,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
4,4,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
2,2,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
12,12,2,2,12,12,1,Jeeves,2023-02-01_13-31-20
11,11,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
7,7,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
8,8,11,11,8,8,1,Jeeves,2023-02-01_13-31-20
12,12,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
1,1,3,3,1,1,1,Jeeves,2023-02-01_13-31-20
1,1,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
6,6,14,14,6,6,1,Jeeves,2023-02-01_13-31-20
4,2,2,7,2,2,2,Jeeves,2023-02-01_13-31-20
4,4,14,14,4,4,1,Jeeves,2023-02-01_13-31-20
11,11,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
4,14,14,6,14,14,1,Jeeves,2023-02-01_13-31-20
6,6,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
5,5,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
5,12,12,8,12,12,2,Jeeves,2023-02-01_13-31-20
6,2,2,10,2,2,2,Jeeves,2023-02-01_13-31-20
2,2,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
14,14,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
1,1,12,12,1,1,1,Jeeves,2023-02-01_13-31-20
1,1,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
7,7,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
4,4,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
4,4,8,8,4,4,1,Jeeves,2023-02-01_13-31-20
3,3,9,9,3,3,1,Jeeves,2023-02-01_13-31-20
6,6,5,5,6,6,1,Jeeves,2023-02-01_13-31-20
13,13,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
7,10,10,4,10,10,2,Jeeves,2023-02-01_13-31-20
1,1,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
2,2,4,4,2,2,1,Jeeves,2023-02-01_13-31-20
11,2,8,11,11,11,2,Jeeves,2023-02-01_13-31-20
1,1,7,7,1,1,1,Jeeves,2023-02-01_13-31-20
6,6,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
1,1,8,8,1,1,1,Jeeves,2023-02-01_13-31-20
11,11,9,9,11,11,1,Jeeves,2023-02-01_13-31-20
11,11,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
12,12,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
10,6,6,5,6,6,2,Jeeves,2023-02-01_13-31-20
2,2,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
10,10,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
6,7,7,9,7,7,1,Jeeves,2023-02-01_13-31-20
1,10,4,1,1,1,1,Jeeves,2023-02-01_13-31-20
3,3,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
3,3,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
3,12,12,5,12,12,1,Jeeves,2023-02-01_13-31-20
8,8,2,2,8,8,1,Jeeves,2023-02-01_13-31-20
4,4,5,5,4,4,1,Jeeves,2023-02-01_13-31-20
6,6,11,11,6,6,1,Jeeves,2023-02-01_13-31-20
9,9,8,8,9,9,1,Jeeves,2023-02-01_13-31-20
12,12,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
2,2,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
8,8,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
12,12,6,6,12,12,1,Jeeves,2023-02-01_13-31-20
8,8,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
8,8,7,7,8,8,1,Jeeves,2023-02-01_13-31-20
7,7,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
6,6,11,11,11,11,1,Jeeves,2023-02-01_13-31-20
11,13,13,5,13,13,1,Jeeves,2023-02-01_13-31-20
3,3,5,5,3,3,1,Jeeves,2023-02-01_13-31-20
9,9,11,11,9,9,1,Jeeves,2023-02-01_13-31-20
14,14,13,13,14,14,1,Jeeves,2023-02-01_13-31-20
1,1,6,6,1,1,1,Jeeves,2023-02-01_13-31-20
14,11,13,14,14,14,2,Jeeves,2023-02-01_13-31-20
7,7,6,6,7,7,1,Jeeves,2023-02-01_13-31-20
9,9,3,3,9,9,1,Jeeves,2023-02-01_13-31-20
5,5,9,9,5,5,1,Jeeves,2023-02-01_13-31-20
4,4,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
2,2,9,9,2,2,1,Jeeves,2023-02-01_13-31-20
12,13,13,9,13,13,1,Jeeves,2023-02-01_13-31-20
12,12,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
2,2,11,11,2,2,1,Jeeves,2023-02-01_13-31-20
5,5,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
3,14,5,3,3,3,2,Jeeves,2023-02-01_13-31-20
6,6,11,11,6,6,1,Jeeves,2023-02-01_13-31-20
8,8,14,14,8,8,1,Jeeves,2023-02-01_13-31-20
2,1,11,2,2,2,1,Jeeves,2023-02-01_13-31-20
8,8,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
3,3,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
9,9,10,10,9,9,1,Jeeves,2023-02-01_13-31-20
7,7,13,13,7,7,1,Jeeves,2023-02-01_13-31-20
1,1,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
13,13,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
12,12,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
10,12,12,10,10,10,1,Jeeves,2023-02-01_13-31-20
10,10,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
7,7,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
1,1,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
10,10,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
13,13,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
11,11,9,9,11,11,1,Jeeves,2023-02-01_13-31-20
5,5,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
9,9,6,6,9,9,1,Jeeves,2023-02-01_13-31-20
5,5,11,11,5,5,1,Jeeves,2023-02-01_13-31-20
14,14,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
4,4,7,7,4,4,1,Jeeves,2023-02-01_13-31-20
3,3,14,14,3,3,1,Jeeves,2023-02-01_13-31-20
13,13,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
8,8,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
13,13,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
8,8,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
7,7,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
12,12,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
3,3,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
12,12,7,7,12,12,1,Jeeves,2023-02-01_13-31-20
6,6,3,3,6,6,1,Jeeves,2023-02-01_13-31-20
9,9,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
7,7,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
7,7,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
14,14,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
3,3,10,10,3,3,1,Jeeves,2023-02-01_13-31-20
14,14,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
10,14,3,10,10,10,1,Jeeves,2023-02-01_13-31-20
11,5,5,3,5,5,2,Jeeves,2023-02-01_13-31-20
14,14,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
11,11,9,9,11,11,1,Jeeves,2023-02-01_13-31-20
4,8,8,10,8,8,2,Jeeves,2023-02-01_13-31-20
11,13,13,1,13,13,1,Jeeves,2023-02-01_13-31-20
3,3,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
5,14,14,3,14,14,2,Jeeves,2023-02-01_13-31-20
10,10,8,8,10,10,1,Jeeves,2023-02-01_13-31-20
4,14,14,5,14,14,1,Jeeves,2023-02-01_13-31-20
2,2,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
9,13,13,4,13,13,1,Jeeves,2023-02-01_13-31-20
12,12,13,13,12,12,1,Jeeves,2023-02-01_13-31-20
14,14,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
3,3,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
6,6,1,1,1,1,2,Jeeves,2023-02-01_13-31-20
10,10,4,4,10,10,1,Jeeves,2023-02-01_13-31-20
1,4,11,1,1,1,1,Jeeves,2023-02-01_13-31-20
7,7,9,9,7,7,1,Jeeves,2023-02-01_13-31-20
9,9,12,12,9,9,1,Jeeves,2023-02-01_13-31-20
7,8,2,7,7,7,1,Jeeves,2023-02-01_13-31-20
13,13,3,3,13,13,1,Jeeves,2023-02-01_13-31-20
2,2,12,12,2,2,1,Jeeves,2023-02-01_13-31-20
10,10,4,4,10,10,1,Jeeves,2023-02-01_13-31-20
1,1,12,12,1,1,1,Jeeves,2023-02-01_13-31-20
3,3,5,5,3,3,1,Jeeves,2023-02-01_13-31-20
13,13,6,6,13,13,1,Jeeves,2023-02-01_13-31-20
1,6,9,1,1,1,1,Jeeves,2023-02-01_13-31-20
5,5,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
11,11,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
5,13,13,4,13,13,2,Jeeves,2023-02-01_13-31-20
8,8,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
3,3,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
8,8,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
3,3,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
2,2,5,5,2,2,1,Jeeves,2023-02-01_13-31-20
2,2,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
3,3,1,1,3,3,1,Jeeves,2023-02-01_13-31-20
2,8,8,1,8,8,2,Jeeves,2023-02-01_13-31-20
10,10,12,12,10,10,1,Jeeves,2023-02-01_13-31-20
14,14,12,12,14,14,1,Jeeves,2023-02-01_13-31-20
8,8,13,13,8,8,1,Jeeves,2023-02-01_13-31-20
6,6,1,1,6,6,1,Jeeves,2023-02-01_13-31-20
3,11,12,3,3,3,2,Jeeves,2023-02-01_13-31-20
12,12,10,10,12,12,1,Jeeves,2023-02-01_13-31-20
5,5,14,14,5,5,1,Jeeves,2023-02-01_13-31-20
5,5,10,10,5,5,1,Jeeves,2023-02-01_13-31-20
4,13,13,1,13,13,1,Jeeves,2023-02-01_13-31-20
12,12,7,7,12,12,1,Jeeves,2023-02-01_13-31-20
4,4,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
3,3,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
4,4,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
7,7,11,11,11,11,2,Jeeves,2023-02-01_13-31-20
5,5,3,3,5,5,1,Jeeves,2023-02-01_13-31-20
9,11,11,9,9,9,2,Jeeves,2023-02-01_13-31-20
12,12,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
4,4,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
7,7,5,5,7,7,1,Jeeves,2023-02-01_13-31-20
1,1,4,4,1,1,1,Jeeves,2023-02-01_13-31-20
10,10,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
12,2,7,12,12,12,1,Jeeves,2023-02-01_13-31-20
2,2,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
1,1,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
1,1,3,3,1,1,1,Jeeves,2023-02-01_13-31-20
1,12,12,11,12,12,1,Jeeves,2023-02-01_13-31-20
1,1,9,9,1,1,1,Jeeves,2023-02-01_13-31-20
11,11,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
9,9,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
1,1,13,13,1,1,1,Jeeves,2023-02-01_13-31-20
13,13,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
7,7,14,14,7,7,1,Jeeves,2023-02-01_13-31-20
14,14,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
12,12,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
6,6,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
6,6,8,8,6,6,1,Jeeves,2023-02-01_13-31-20
14,14,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
10,10,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
5,5,11,11,5,5,1,Jeeves,2023-02-01_13-31-20
14,14,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
14,14,9,9,14,14,1,Jeeves,2023-02-01_13-31-20
7,7,5,5,7,7,1,Jeeves,2023-02-01_13-31-20
8,8,3,3,3,3,2,Jeeves,2023-02-01_13-31-20
14,14,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
13,13,10,10,10,10,2,Jeeves,2023-02-01_13-31-20
1,1,7,7,1,1,1,Jeeves,2023-02-01_13-31-20
12,8,8,14,8,8,1,Jeeves,2023-02-01_13-31-20
5,5,12,12,5,5,1,Jeeves,2023-02-01_13-31-20
2,2,12,12,2,2,1,Jeeves,2023-02-01_13-31-20
10,10,1,1,10,10,1,Jeeves,2023-02-03_12-56-58
9,11,12,9,9,9,1,Jeeves,2023-02-03_12-56-58
1,1,11,11,11,11,2,Jeeves,2023-02-03_12-56-58
4,4,6,6,4,4,1,Jeeves,2023-02-03_12-56-58
4,4,6,6,4,4,1,Jeeves,2023-02-03_12-56-58
10,14,13,10,10,10,1,Jeeves,2023-02-03_12-56-58
5,5,12,12,12,12,2,Jeeves,2023-02-03_12-56-58
10,10,11,11,11,11,2,Jeeves,2023-02-03_12-56-58
4,1,12,4,4,4,2,Jeeves,2023-02-03_12-56-58
6,6,1,1,1,1,1,Jeeves,2023-02-03_12-56-58
5,5,2,2,5,5,1,Jeeves,2023-02-03_12-56-58
1,11,6,1,1,1,1,Jeeves,2023-02-03_12-56-58
7,9,9,8,9,9,1,Jeeves,2023-02-03_12-56-58
11,11,7,7,7,7,2,Jeeves,2023-02-03_12-56-58
9,9,10,10,10,10,2,Jeeves,2023-02-03_12-56-58
11,11,3,3,11,11,1,Jeeves,2023-02-03_12-56-58
13,13,2,2,2,2,2,Jeeves,2023-02-03_12-56-58
5,5,2,2,2,2,2,Jeeves,2023-02-03_12-56-58
12,12,2,2,12,12,1,Jeeves,2023-02-03_12-56-58
7,7,8,8,7,7,1,Jeeves,2023-02-03_12-56-58
12,12,3,3,12,12,1,Jeeves,2023-02-03_12-56-58
7,13,13,7,7,7,2,Jeeves,2023-02-03_12-56-58
13,10,10,13,13,13,1,Jeeves,2023-02-03_12-56-58
4,4,7,7,7,7,2,Jeeves,2023-02-03_12-56-58
8,8,14,14,14,14,2,Jeeves,2023-02-03_12-56-58
5,5,12,12,5,5,1,Jeeves,2023-02-03_12-56-58
14,14,4,4,14,14,1,Jeeves,2023-02-03_12-56-58
6,6,8,8,6,6,1,Jeeves,2023-02-03_12-56-58
1,1,12,12,12,12,2,Jeeves,2023-02-03_12-56-58
8,11,4,8,8,8,1,Jeeves,2023-02-03_12-56-58
10,1,12,10,10,10,1,Jeeves,2023-02-03_12-56-58
9,9,14,14,9,9,1,Jeeves,2023-02-03_12-56-58
4,4,7,7,7,7,2,Jeeves,2023-02-03_12-56-58
7,7,5,5,5,5,2,Jeeves,2023-02-03_12-56-58
2,2,7,7,7,7,2,Jeeves,2023-02-03_12-56-58
14,14,5,5,14,14,1,Jeeves,2023-02-03_12-56-58
4,8,14,4,4,4,1,Jeeves,2023-02-03_12-56-58
4,4,3,3,4,4,1,Jeeves,2023-02-03_12-56-58
3,3,6,6,6,6,2,Jeeves,2023-02-03_12-56-58
6,6,2,2,2,2,2,Jeeves,2023-02-03_12-56-58
11,11,9,9,11,11,1,Jeeves,2023-02-03_12-56-58
9,7,6,9,9,9,1,Jeeves,2023-02-03_12-56-58
6,6,10,10,10,10,2,Jeeves,2023-02-03_12-56-58
3,2,2,11,2,2,2,Jeeves,2023-02-03_12-56-58
13,13,2,2,2,2,2,Jeeves,2023-02-03_12-56-58
